Generating the reference point cloud
Model name: axe_handle
Jupyter environment detected. Enabling Open3D WebVisualizer.
[Open3D INFO] WebRTC GUI backend enabled.
[Open3D INFO] WebRTCWindowSystem: HTTP handshake server disabled.
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'axe_handle', 'axe_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('axe_handle', 'gelatin_box'), ('axe_head', 'plastic_claw')], Total Error: 1.2431, Shape Error: 0.1087, Size Error: 0.6613, Ratio Error: 0.9461
Matches: [('axe_handle', 'wood_L_shape'), ('axe_head', 'fries')], Total Error: 1.2441, Shape Error: 0.1097, Size Error: 0.7100, Ratio Error: 0.8487
Matches: [('axe_handle', 'wood_L_shape'), ('axe_head', 'drill_bit')], Total Error: 1.2477, Shape Error: 0.0232, Size Error: 0.8048, Ratio Error: 0.8394
Matches: [('axe_handle', 'drill_bit'), ('axe_head', 'red_foam')], Total Error: 1.2519, Shape Error: 0.1531, Size Error: 0.5886, Ratio Error: 1.0204
Matches: [('axe_handle', 'drill_bit'), ('axe_head', 'wood_foam')], Total Error: 1.2562, Shape Error: 0.5173, Size Error: 0.4554, Ratio Error: 0.5671
Matches: [('axe_handle', 'drill_bit'), ('axe_head', 'wood_foam')], Total Error: 1.2562, Shape Error: 0.5173, Size Error: 0.4554, Ratio Error: 0.5671
Matches: [('axe_handle', 'screwdriver_large'), ('axe_head', 'plastic_clip')], Total Error: 1.2571, Shape Error: 0.3948, Size Error: 0.5349, Ratio Error: 0.6547
Matches: [('axe_handle', 'screwdriver_large'), ('axe_head', 'tuna_can')], Total Error: 1.2672, Shape Error: 0.4040, Size Error: 0.4974, Ratio Error: 0.7316
Matches: [('axe_handle', 'wooden_screw'), ('axe_head', 'plastic_handle')], Total Error: 1.2757, Shape Error: 0.6104, Size Error: 0.4834, Ratio Error: 0.3638
Matches: [('axe_handle', 'purple_foam'), ('axe_head', 'plastic_claw')], Total Error: 1.2760, Shape Error: 0.2936, Size Error: 0.6092, Ratio Error: 0.7462
Matches: [('axe_handle', 'pliers'), ('axe_head', 'purple_foam')], Total Error: 1.2765, Shape Error: 0.2495, Size Error: 0.4987, Ratio Error: 1.0565
Matches: [('axe_handle', 'screwdriver_small'), ('axe_head', 'green_foam')], Total Error: 1.2766, Shape Error: 0.4613, Size Error: 0.5707, Ratio Error: 0.4892
Matches: [('axe_handle', 'fries'), ('axe_head', 'gelatin_box')], Total Error: 1.2802, Shape Error: 0.2064, Size Error: 0.5660, Ratio Error: 1.0156
Matches: [('axe_handle', 'plastic_clip'), ('axe_head', 'plastic_handle')], Total Error: 1.2858, Shape Error: 0.3744, Size Error: 0.5462, Ratio Error: 0.7305
Matches: [('axe_handle', 'wood_short_midPoint'), ('axe_head', 'foam_triangle')], Total Error: 1.2871, Shape Error: 0.7232, Size Error: 0.2589, Ratio Error: 0.6101
Matches: [('axe_handle', 'plastic_claw'), ('axe_head', 'purple_foam')], Total Error: 1.2877, Shape Error: 0.2661, Size Error: 0.5576, Ratio Error: 0.9282
Matches: [('axe_handle', 'wooden_screw'), ('axe_head', 'fries')], Total Error: 1.2974, Shape Error: 0.3829, Size Error: 0.5771, Ratio Error: 0.6748
Matches: [('axe_handle', 'fries'), ('axe_head', 'pliers')], Total Error: 1.2993, Shape Error: 0.1495, Size Error: 0.6181, Ratio Error: 1.0634
Matches: [('axe_handle', 'wood_long_endPoint'), ('axe_head', 'purple_foam')], Total Error: 1.2994, Shape Error: 0.6485, Size Error: 0.2863, Ratio Error: 0.7291
Matches: [('axe_handle', 'wooden_screw'), ('axe_head', 'drill_bit')], Total Error: 1.3010, Shape Error: 0.2964, Size Error: 0.6719, Ratio Error: 0.6655
Matches: [('axe_handle', 'red_cylinder_magnetic'), ('axe_head', 'purple_foam')], Total Error: 1.3012, Shape Error: 0.7202, Size Error: 0.3354, Ratio Error: 0.4911
Matches: [('axe_handle', 'tongs'), ('axe_head', 'red_foam')], Total Error: 1.3074, Shape Error: 0.3005, Size Error: 0.6260, Ratio Error: 0.7616
Matches: [('axe_handle', 'plastic_clip'), ('axe_head', 'fries')], Total Error: 1.3075, Shape Error: 0.1469, Size Error: 0.6399, Ratio Error: 1.0415
Matches: [('axe_handle', 'plastic_clip'), ('axe_head', 'drill_bit')], Total Error: 1.3111, Shape Error: 0.0604, Size Error: 0.7347, Ratio Error: 1.0321
Matches: [('axe_handle', 'tongs'), ('axe_head', 'wood_foam')], Total Error: 1.3117, Shape Error: 0.6647, Size Error: 0.4928, Ratio Error: 0.3082
Matches: [('axe_handle', 'tongs'), ('axe_head', 'wood_foam')], Total Error: 1.3117, Shape Error: 0.6647, Size Error: 0.4928, Ratio Error: 0.3082
Matches: [('axe_handle', 'wood_L_shape'), ('axe_head', 'red_foam')], Total Error: 1.3248, Shape Error: 0.1531, Size Error: 0.6954, Ratio Error: 0.9526
Matches: [('axe_handle', 'tuna_can'), ('axe_head', 'plastic_claw')], Total Error: 1.3287, Shape Error: 0.0285, Size Error: 0.7572, Ratio Error: 1.0859
Matches: [('axe_handle', 'wood_L_shape'), ('axe_head', 'wood_foam')], Total Error: 1.3290, Shape Error: 0.5173, Size Error: 0.5622, Ratio Error: 0.4992
Matches: [('axe_handle', 'wood_L_shape'), ('axe_head', 'wood_foam')], Total Error: 1.3290, Shape Error: 0.5173, Size Error: 0.5622, Ratio Error: 0.4992
Matches: [('axe_handle', 'screwdriver_large'), ('axe_head', 'gelatin_box')], Total Error: 1.3310, Shape Error: 0.4608, Size Error: 0.5026, Ratio Error: 0.7353
Matches: [('axe_handle', 'screwdriver_small'), ('axe_head', 'plastic_handle')], Total Error: 1.3396, Shape Error: 0.5634, Size Error: 0.5696, Ratio Error: 0.4132
Matches: [('axe_handle', 'drill_bit'), ('axe_head', 'gripper_sleeve')], Total Error: 1.3399, Shape Error: 0.6427, Size Error: 0.4056, Ratio Error: 0.5831
Matches: [('axe_handle', 'plastic_handle'), ('axe_head', 'plastic_claw')], Total Error: 1.3417, Shape Error: 0.3889, Size Error: 0.5667, Ratio Error: 0.7722
Matches: [('axe_handle', 'screwdriver_large'), ('axe_head', 'pliers')], Total Error: 1.3502, Shape Error: 0.4040, Size Error: 0.5547, Ratio Error: 0.7831
Matches: [('axe_handle', 'pliers'), ('axe_head', 'plastic_clip')], Total Error: 1.3503, Shape Error: 0.0140, Size Error: 0.7160, Ratio Error: 1.2406
Matches: [('axe_handle', 'fries'), ('axe_head', 'green_foam')], Total Error: 1.3538, Shape Error: 0.3615, Size Error: 0.5691, Ratio Error: 0.8463
Matches: [('axe_handle', 'drill_bit'), ('axe_head', 'hotdog')], Total Error: 1.3592, Shape Error: 0.5075, Size Error: 0.5480, Ratio Error: 0.6073
Matches: [('axe_handle', 'pliers'), ('axe_head', 'tuna_can')], Total Error: 1.3604, Shape Error: 0.0232, Size Error: 0.6785, Ratio Error: 1.3174
Matches: [('axe_handle', 'wood_short_midPoint'), ('axe_head', 'purple_foam')], Total Error: 1.3613, Shape Error: 0.6837, Size Error: 0.3049, Ratio Error: 0.7453
Matches: [('axe_handle', 'screwdriver_small'), ('axe_head', 'fries')], Total Error: 1.3613, Shape Error: 0.3359, Size Error: 0.6633, Ratio Error: 0.7242
Matches: [('axe_handle', 'plastic_claw'), ('axe_head', 'plastic_clip')], Total Error: 1.3615, Shape Error: 0.0306, Size Error: 0.7749, Ratio Error: 1.1122
Matches: [('axe_handle', 'foam_roll'), ('axe_head', 'foam_triangle')], Total Error: 1.3647, Shape Error: 0.7253, Size Error: 0.2881, Ratio Error: 0.7026
Matches: [('axe_handle', 'screwdriver_small'), ('axe_head', 'drill_bit')], Total Error: 1.3649, Shape Error: 0.2493, Size Error: 0.7582, Ratio Error: 0.7148
Matches: [('axe_handle', 'drill_bit'), ('axe_head', 'wood_L_shape')], Total Error: 1.3688, Shape Error: 0.0232, Size Error: 0.8400, Ratio Error: 1.0112
Matches: [('axe_handle', 'plastic_claw'), ('axe_head', 'tuna_can')], Total Error: 1.3716, Shape Error: 0.0397, Size Error: 0.7373, Ratio Error: 1.1891
Matches: [('axe_handle', 'wood_long_endPoint'), ('axe_head', 'plastic_clip')], Total Error: 1.3732, Shape Error: 0.4130, Size Error: 0.5036, Ratio Error: 0.9131
Matches: [('axe_handle', 'red_cylinder_magnetic'), ('axe_head', 'plastic_clip')], Total Error: 1.3750, Shape Error: 0.4847, Size Error: 0.5527, Ratio Error: 0.6751
Matches: [('axe_handle', 'drill_bit'), ('axe_head', 'foam_w_hole')], Total Error: 1.3768, Shape Error: 0.4395, Size Error: 0.5009, Ratio Error: 0.8728
Matches: [('axe_handle', 'wooden_screw'), ('axe_head', 'red_foam')], Total Error: 1.3781, Shape Error: 0.4263, Size Error: 0.5625, Ratio Error: 0.7787
Matches: [('axe_handle', 'wooden_screw'), ('axe_head', 'wood_foam')], Total Error: 1.3824, Shape Error: 0.7905, Size Error: 0.4293, Ratio Error: 0.3253
Matches: [('axe_handle', 'wooden_screw'), ('axe_head', 'wood_foam')], Total Error: 1.3824, Shape Error: 0.7905, Size Error: 0.4293, Ratio Error: 0.3253
Matches: [('axe_handle', 'wood_long_endPoint'), ('axe_head', 'tuna_can')], Total Error: 1.3832, Shape Error: 0.4221, Size Error: 0.4661, Ratio Error: 0.9900
Matches: [('axe_handle', 'red_cylinder_magnetic'), ('axe_head', 'tuna_can')], Total Error: 1.3851, Shape Error: 0.4939, Size Error: 0.5152, Ratio Error: 0.7520
