Generating the reference point cloud
Model name: knife_handle
Model name: knife_head
Jupyter environment detected. Enabling Open3D WebVisualizer.
[Open3D INFO] WebRTC GUI backend enabled.
[Open3D INFO] WebRTCWindowSystem: HTTP handshake server disabled.
Generating the candidate point cloud
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'knife_handle', 'knife_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('knife_handle', 'foam_w_hole'), ('knife_head', 'metal_triangle')], Total Error: 4.0703, Shape Error: 0.4460, Size Error: 0.7445, Ratio Error: 5.7596
Matches: [('knife_handle', 'tongs'), ('knife_head', 'foam_plate')], Total Error: 4.0738, Shape Error: 0.9256, Size Error: 0.7324, Ratio Error: 4.8315
Matches: [('knife_handle', 'wood_long_midPoint'), ('knife_head', 'white_bread')], Total Error: 4.0829, Shape Error: 1.3463, Size Error: 0.5992, Ratio Error: 4.2746
Matches: [('knife_handle', 'plastic_clip'), ('knife_head', 'square_cardboard')], Total Error: 4.1066, Shape Error: 0.3717, Size Error: 0.5654, Ratio Error: 6.3389
Matches: [('knife_handle', 'plastic_clip'), ('knife_head', 'square_cardboard')], Total Error: 4.1066, Shape Error: 0.3717, Size Error: 0.5654, Ratio Error: 6.3389
Matches: [('knife_handle', 'plastic_clip'), ('knife_head', 'square_cardboard')], Total Error: 4.1066, Shape Error: 0.3717, Size Error: 0.5654, Ratio Error: 6.3389
Matches: [('knife_handle', 'plastic_clip'), ('knife_head', 'square_cardboard')], Total Error: 4.1066, Shape Error: 0.3717, Size Error: 0.5654, Ratio Error: 6.3389
Matches: [('knife_handle', 'wooden_screw'), ('knife_head', 'foam_plate')], Total Error: 4.1092, Shape Error: 1.0514, Size Error: 0.6549, Ratio Error: 4.8058
Matches: [('knife_handle', 'red_bowl'), ('knife_head', 'metal_triangle')], Total Error: 4.1131, Shape Error: 0.5111, Size Error: 0.7347, Ratio Error: 5.7345
Matches: [('knife_handle', 'screwdriver_small'), ('knife_head', 'foam_plate')], Total Error: 4.1132, Shape Error: 1.0044, Size Error: 0.7292, Ratio Error: 4.7593
Matches: [('knife_handle', 'drill_bit'), ('knife_head', 'square_cardboard')], Total Error: 4.1154, Shape Error: 0.3345, Size Error: 0.6455, Ratio Error: 6.2708
Matches: [('knife_handle', 'drill_bit'), ('knife_head', 'square_cardboard')], Total Error: 4.1154, Shape Error: 0.3345, Size Error: 0.6455, Ratio Error: 6.2708
