Generating the reference point cloud
Model name: spatula_handle
Jupyter environment detected. Enabling Open3D WebVisualizer.
[Open3D INFO] WebRTC GUI backend enabled.
[Open3D INFO] WebRTCWindowSystem: HTTP handshake server disabled.
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'spatula_handle', 'spatula_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('spatula_handle', 'red_cylinder_magnetic'), ('spatula_head', 'circle_spam')], Total Error: 3.5332, Shape Error: 1.9427, Size Error: 0.5478, Ratio Error: 2.0853
Matches: [('spatula_handle', 'red_cylinder_magnetic'), ('spatula_head', 'disc_small')], Total Error: 3.5503, Shape Error: 1.7929, Size Error: 0.5779, Ratio Error: 2.3589
Matches: [('spatula_handle', 'red_cylinder_magnetic'), ('spatula_head', 'disc_small')], Total Error: 3.5503, Shape Error: 1.7929, Size Error: 0.5779, Ratio Error: 2.3589
Matches: [('spatula_handle', 'fork'), ('spatula_head', 'circle_spam')], Total Error: 3.5550, Shape Error: 2.3721, Size Error: 0.3618, Ratio Error: 1.6423
Matches: [('spatula_handle', 'fork'), ('spatula_head', 'disc_small')], Total Error: 3.5721, Shape Error: 2.2223, Size Error: 0.3919, Ratio Error: 1.9159
Matches: [('spatula_handle', 'fork'), ('spatula_head', 'disc_small')], Total Error: 3.5721, Shape Error: 2.2223, Size Error: 0.3919, Ratio Error: 1.9159
Matches: [('spatula_handle', 'tuna_can'), ('spatula_head', 'circle_spam')], Total Error: 3.5768, Shape Error: 1.4720, Size Error: 0.9439, Ratio Error: 2.3217
Matches: [('spatula_handle', 'tuna_can'), ('spatula_head', 'disc_small')], Total Error: 3.5939, Shape Error: 1.3222, Size Error: 0.9740, Ratio Error: 2.5952
Matches: [('spatula_handle', 'tuna_can'), ('spatula_head', 'disc_small')], Total Error: 3.5939, Shape Error: 1.3222, Size Error: 0.9740, Ratio Error: 2.5952
Matches: [('spatula_handle', 'purple_foam'), ('spatula_head', 'plastic_green_square')], Total Error: 3.6918, Shape Error: 0.9642, Size Error: 0.8972, Ratio Error: 3.6611
Matches: [('spatula_handle', 'yellow_foam'), ('spatula_head', 'plastic_green_square')], Total Error: 3.6938, Shape Error: 1.5436, Size Error: 0.5764, Ratio Error: 3.1475
Matches: [('spatula_handle', 'plastic_handle'), ('spatula_head', 'plastic_green_square')], Total Error: 3.7190, Shape Error: 1.0594, Size Error: 0.8115, Ratio Error: 3.6962
Matches: [('spatula_handle', 'foam_triangle'), ('spatula_head', 'plastic_green_square')], Total Error: 3.7286, Shape Error: 1.0085, Size Error: 0.9090, Ratio Error: 3.6221
Matches: [('spatula_handle', 'foam_w_hole'), ('spatula_head', 'plastic_green_square')], Total Error: 3.7571, Shape Error: 1.1379, Size Error: 0.8359, Ratio Error: 3.5667
Matches: [('spatula_handle', 'hotdog'), ('spatula_head', 'plastic_green_square')], Total Error: 3.7660, Shape Error: 1.2229, Size Error: 0.7528, Ratio Error: 3.5804
Matches: [('spatula_handle', 'purple_foam'), ('spatula_head', 'circle_spam')], Total Error: 3.7673, Shape Error: 1.7372, Size Error: 0.8477, Ratio Error: 2.3648
