Generating the reference point cloud
Model name: screwdriver_head
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'screwdriver_body', 'screwdriver_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('screwdriver_body', 'wood_long_endPoint'), ('screwdriver_head', 'drill_bit')], Total Error: 1.5015, Shape Error: 0.4955, Size Error: 0.5408, Ratio Error: 0.9305
Matches: [('screwdriver_body', 'wood_block_stack'), ('screwdriver_head', 'fries')], Total Error: 1.5037, Shape Error: 0.3281, Size Error: 0.7221, Ratio Error: 0.9071
Matches: [('screwdriver_body', 'wood_short_midPoint'), ('screwdriver_head', 'wood_L_shape')], Total Error: 1.5056, Shape Error: 0.5520, Size Error: 0.5446, Ratio Error: 0.8181
Matches: [('screwdriver_body', 'red_cylinder_magnetic'), ('screwdriver_head', 'wooden_screw')], Total Error: 1.5075, Shape Error: 0.8609, Size Error: 0.4380, Ratio Error: 0.4172
Matches: [('screwdriver_body', 'fork'), ('screwdriver_head', 'fries')], Total Error: 1.5134, Shape Error: 0.1320, Size Error: 0.7829, Ratio Error: 1.1969
Matches: [('screwdriver_body', 'steel_bowl_small'), ('screwdriver_head', 'drill_bit')], Total Error: 1.5179, Shape Error: 0.1867, Size Error: 0.7035, Ratio Error: 1.2556
Matches: [('screwdriver_body', 'tongs'), ('screwdriver_head', 'wood_L_shape')], Total Error: 1.5182, Shape Error: 0.7470, Size Error: 0.5930, Ratio Error: 0.3564
Matches: [('screwdriver_body', 'yellow_foam'), ('screwdriver_head', 'screwdriver_small')], Total Error: 1.5212, Shape Error: 0.5058, Size Error: 0.5909, Ratio Error: 0.8489
Matches: [('screwdriver_body', 'wood_spread_tooth'), ('screwdriver_head', 'screwdriver_large')], Total Error: 1.5224, Shape Error: 0.3845, Size Error: 0.6102, Ratio Error: 1.0555
Matches: [('screwdriver_body', 'yellow_foam'), ('screwdriver_head', 'plastic_clip')], Total Error: 1.5224, Shape Error: 0.3169, Size Error: 0.6620, Ratio Error: 1.0871
Matches: [('screwdriver_body', 'wood_long_midPoint'), ('screwdriver_head', 'foam_roll')], Total Error: 1.5262, Shape Error: 0.5533, Size Error: 0.5182, Ratio Error: 0.9093
Matches: [('screwdriver_body', 'wood_foam'), ('screwdriver_head', 'wood_L_shape')], Total Error: 1.5265, Shape Error: 0.3876, Size Error: 0.6819, Ratio Error: 0.9141
Matches: [('screwdriver_body', 'wood_foam'), ('screwdriver_head', 'wood_L_shape')], Total Error: 1.5265, Shape Error: 0.3876, Size Error: 0.6819, Ratio Error: 0.9141
Matches: [('screwdriver_body', 'wood_short_midPoint'), ('screwdriver_head', 'drill_bit')], Total Error: 1.5302, Shape Error: 0.5520, Size Error: 0.5189, Ratio Error: 0.9186
Matches: [('screwdriver_body', 'tongs'), ('screwdriver_head', 'drill_bit')], Total Error: 1.5427, Shape Error: 0.7470, Size Error: 0.5673, Ratio Error: 0.4569
Matches: [('screwdriver_body', 'wood_spread_tooth'), ('screwdriver_head', 'wood_short_midPoint')], Total Error: 1.5439, Shape Error: 0.4378, Size Error: 0.5191, Ratio Error: 1.1739
Matches: [('screwdriver_body', 'screwdriver_small'), ('screwdriver_head', 'tongs')], Total Error: 1.5462, Shape Error: 0.8156, Size Error: 0.5684, Ratio Error: 0.3244
Matches: [('screwdriver_body', 'red_cylinder_magnetic'), ('screwdriver_head', 'screwdriver_small')], Total Error: 1.5475, Shape Error: 0.8139, Size Error: 0.5003, Ratio Error: 0.4665
Matches: [('screwdriver_body', 'red_cylinder_magnetic'), ('screwdriver_head', 'plastic_clip')], Total Error: 1.5487, Shape Error: 0.6249, Size Error: 0.5714, Ratio Error: 0.7047
Matches: [('screwdriver_body', 'wood_foam'), ('screwdriver_head', 'drill_bit')], Total Error: 1.5511, Shape Error: 0.3876, Size Error: 0.6562, Ratio Error: 1.0146
