Generating the reference point cloud
Model name: spoon_head
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('spoon_head', 'yellow_foam'), ('spoon_body', 'drill_bit')], Total Error: 1.4993, Shape Error: 0.4774, Size Error: 0.7056, Ratio Error: 0.6326
Matches: [('spoon_head', 'blue_cup'), ('spoon_body', 'wood_L_shape')], Total Error: 1.5025, Shape Error: 0.4579, Size Error: 0.6669, Ratio Error: 0.7555
Matches: [('spoon_head', 'popcorn'), ('spoon_body', 'tuna_can')], Total Error: 1.5030, Shape Error: 0.0706, Size Error: 0.8447, Ratio Error: 1.1753
Matches: [('spoon_head', 'wood_foam'), ('spoon_body', 'wood_L_shape')], Total Error: 1.5097, Shape Error: 0.6254, Size Error: 0.6583, Ratio Error: 0.4520
Matches: [('spoon_head', 'wood_foam'), ('spoon_body', 'wood_L_shape')], Total Error: 1.5097, Shape Error: 0.6254, Size Error: 0.6583, Ratio Error: 0.4520
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'foam_triangle')], Total Error: 1.5103, Shape Error: 0.4187, Size Error: 0.7040, Ratio Error: 0.7753
Matches: [('spoon_head', 'plastic_wahl_clippers'), ('spoon_body', 'red_cylinder_magnetic')], Total Error: 1.5115, Shape Error: 0.9845, Size Error: 0.3049, Ratio Error: 0.4441
Matches: [('spoon_head', 'purple_foam'), ('spoon_body', 'wood_L_shape')], Total Error: 1.5120, Shape Error: 0.7318, Size Error: 0.5435, Ratio Error: 0.4733
Matches: [('spoon_head', 'gripper_sleeve'), ('spoon_body', 'wooden_screw')], Total Error: 1.5323, Shape Error: 0.6982, Size Error: 0.4817, Ratio Error: 0.7048
Matches: [('spoon_head', 'foam_triangle'), ('spoon_body', 'wooden_screw')], Total Error: 1.5327, Shape Error: 0.9872, Size Error: 0.3214, Ratio Error: 0.4481
Matches: [('spoon_head', 'donut'), ('spoon_body', 'drill_bit')], Total Error: 1.5349, Shape Error: 0.7304, Size Error: 0.5014, Ratio Error: 0.6061
Matches: [('spoon_head', 'plastic_claw'), ('spoon_body', 'drill_bit')], Total Error: 1.5425, Shape Error: 0.9849, Size Error: 0.3998, Ratio Error: 0.3156
Matches: [('spoon_head', 'hotdog'), ('spoon_body', 'plastic_clip')], Total Error: 1.5453, Shape Error: 0.5117, Size Error: 0.6568, Ratio Error: 0.7537
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'hotdog')], Total Error: 1.5477, Shape Error: 0.6331, Size Error: 0.5885, Ratio Error: 0.6522
Matches: [('spoon_head', 'wood_wheel'), ('spoon_body', 'red_cylinder_magnetic')], Total Error: 1.5481, Shape Error: 0.8542, Size Error: 0.4476, Ratio Error: 0.4926
Matches: [('spoon_head', 'plastic_wahl_clippers'), ('spoon_body', 'gelatin_box')], Total Error: 1.5514, Shape Error: 0.5941, Size Error: 0.5816, Ratio Error: 0.7514
Matches: [('spoon_head', 'pizza'), ('spoon_body', 'wooden_screw')], Total Error: 1.5523, Shape Error: 0.8273, Size Error: 0.4194, Ratio Error: 0.6111
Matches: [('spoon_head', 'wood_block_stack'), ('spoon_body', 'drill_bit')], Total Error: 1.5565, Shape Error: 0.6107, Size Error: 0.6709, Ratio Error: 0.5496
Matches: [('spoon_head', 'yellow_foam'), ('spoon_body', 'wood_L_shape')], Total Error: 1.5587, Shape Error: 0.4774, Size Error: 0.8211, Ratio Error: 0.5203
Matches: [('spoon_head', 'gripper_sleeve'), ('spoon_body', 'pliers')], Total Error: 1.5703, Shape Error: 0.4250, Size Error: 0.6440, Ratio Error: 1.0025
Matches: [('spoon_head', 'foam_triangle'), ('spoon_body', 'pliers')], Total Error: 1.5706, Shape Error: 0.7140, Size Error: 0.4836, Ratio Error: 0.7459
Matches: [('spoon_head', 'popcorn'), ('spoon_body', 'purple_foam')], Total Error: 1.5770, Shape Error: 0.3358, Size Error: 0.7267, Ratio Error: 1.0292
Matches: [('spoon_head', 'gripper_sleeve'), ('spoon_body', 'screwdriver_small')], Total Error: 1.5770, Shape Error: 0.6512, Size Error: 0.5651, Ratio Error: 0.7215
Matches: [('spoon_head', 'foam_triangle'), ('spoon_body', 'screwdriver_small')], Total Error: 1.5773, Shape Error: 0.9402, Size Error: 0.4047, Ratio Error: 0.4649
Matches: [('spoon_head', 'gelatin_box'), ('spoon_body', 'drill_bit')], Total Error: 1.5785, Shape Error: 0.9317, Size Error: 0.4065, Ratio Error: 0.4805
Matches: [('spoon_head', 'foam_w_hole'), ('spoon_body', 'plastic_clip')], Total Error: 1.5829, Shape Error: 0.7781, Size Error: 0.4914, Ratio Error: 0.6268
Matches: [('spoon_head', 'tuna_can'), ('spoon_body', 'drill_bit')], Total Error: 1.5832, Shape Error: 0.9969, Size Error: 0.3703, Ratio Error: 0.4319
Matches: [('spoon_head', 'gripper_sleeve'), ('spoon_body', 'wood_long_endPoint')], Total Error: 1.5845, Shape Error: 0.8239, Size Error: 0.4470, Ratio Error: 0.6272
Matches: [('spoon_head', 'foam_triangle'), ('spoon_body', 'wood_long_endPoint')], Total Error: 1.5848, Shape Error: 1.1130, Size Error: 0.2866, Ratio Error: 0.3705
Matches: [('spoon_head', 'steel_bowl_small'), ('spoon_body', 'fries')], Total Error: 1.5860, Shape Error: 0.8531, Size Error: 0.4652, Ratio Error: 0.5355
Matches: [('spoon_head', 'steel_bowl_small'), ('spoon_body', 'tongs')], Total Error: 1.5873, Shape Error: 0.8741, Size Error: 0.4699, Ratio Error: 0.4865
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'wood_spread_tooth')], Total Error: 1.5874, Shape Error: 0.9999, Size Error: 0.3585, Ratio Error: 0.4580
Matches: [('spoon_head', 'wood_wheel'), ('spoon_body', 'gelatin_box')], Total Error: 1.5879, Shape Error: 0.4637, Size Error: 0.7242, Ratio Error: 0.7999
Matches: [('spoon_head', 'pizza'), ('spoon_body', 'pliers')], Total Error: 1.5902, Shape Error: 0.5541, Size Error: 0.5817, Ratio Error: 0.9088
Matches: [('spoon_head', 'blue_cup'), ('spoon_body', 'plastic_clip')], Total Error: 1.5909, Shape Error: 0.4951, Size Error: 0.5816, Ratio Error: 1.0285
Matches: [('spoon_head', 'donut'), ('spoon_body', 'wood_L_shape')], Total Error: 1.5943, Shape Error: 0.7304, Size Error: 0.6170, Ratio Error: 0.4938
Matches: [('spoon_head', 'pizza'), ('spoon_body', 'screwdriver_small')], Total Error: 1.5970, Shape Error: 0.7803, Size Error: 0.5028, Ratio Error: 0.6278
Matches: [('spoon_head', 'wood_foam'), ('spoon_body', 'plastic_clip')], Total Error: 1.5981, Shape Error: 0.6626, Size Error: 0.5730, Ratio Error: 0.7250
Matches: [('spoon_head', 'wood_foam'), ('spoon_body', 'plastic_clip')], Total Error: 1.5981, Shape Error: 0.6626, Size Error: 0.5730, Ratio Error: 0.7250
Matches: [('spoon_head', 'purple_foam'), ('spoon_body', 'plastic_clip')], Total Error: 1.6003, Shape Error: 0.7690, Size Error: 0.4582, Ratio Error: 0.7463
Matches: [('spoon_head', 'plastic_claw'), ('spoon_body', 'wood_L_shape')], Total Error: 1.6019, Shape Error: 0.9849, Size Error: 0.5154, Ratio Error: 0.2033
Matches: [('spoon_head', 'red_cylinder_magnetic'), ('spoon_body', 'drill_bit')], Total Error: 1.6022, Shape Error: 0.5401, Size Error: 0.6761, Ratio Error: 0.7721
Matches: [('spoon_head', 'red_bowl'), ('spoon_body', 'wooden_screw')], Total Error: 1.6038, Shape Error: 0.8631, Size Error: 0.4336, Ratio Error: 0.6143
Matches: [('spoon_head', 'pizza'), ('spoon_body', 'wood_long_endPoint')], Total Error: 1.6045, Shape Error: 0.9530, Size Error: 0.3847, Ratio Error: 0.5334
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'gripper_sleeve')], Total Error: 1.6094, Shape Error: 0.7615, Size Error: 0.5593, Ratio Error: 0.5773
Matches: [('spoon_head', 'wood_block_stack'), ('spoon_body', 'wood_L_shape')], Total Error: 1.6159, Shape Error: 0.6107, Size Error: 0.7865, Ratio Error: 0.4374
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'yellow_foam')], Total Error: 1.6228, Shape Error: 0.9538, Size Error: 0.4550, Ratio Error: 0.4279
Matches: [('spoon_head', 'gelatin_box'), ('spoon_body', 'wood_L_shape')], Total Error: 1.6379, Shape Error: 0.9317, Size Error: 0.5220, Ratio Error: 0.3682
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'green_foam')], Total Error: 1.6384, Shape Error: 0.3432, Size Error: 0.7610, Ratio Error: 1.0683
Matches: [('spoon_head', 'gripper_sleeve'), ('spoon_body', 'wood_short_midPoint')], Total Error: 1.6389, Shape Error: 0.8592, Size Error: 0.4590, Ratio Error: 0.6415
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'foam_w_hole')], Total Error: 1.6390, Shape Error: 0.5480, Size Error: 0.6666, Ratio Error: 0.8485
