Generating the reference point cloud
Model name: rake_head
Jupyter environment detected. Enabling Open3D WebVisualizer.
[Open3D INFO] WebRTC GUI backend enabled.
[Open3D INFO] WebRTCWindowSystem: HTTP handshake server disabled.
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'rake_handle', 'rake_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('rake_handle', 'screwdriver_small'), ('rake_head', 'foam_roll')], Total Error: 1.4035, Shape Error: 0.4620, Size Error: 0.5856, Ratio Error: 0.7118
Matches: [('rake_handle', 'tongs'), ('rake_head', 'plastic_claw')], Total Error: 1.4059, Shape Error: 0.5648, Size Error: 0.5081, Ratio Error: 0.6661
Matches: [('rake_handle', 'screwdriver_small'), ('rake_head', 'screwdriver_large')], Total Error: 1.4062, Shape Error: 0.2626, Size Error: 0.5899, Ratio Error: 1.1073
Matches: [('rake_handle', 'plastic_clip'), ('rake_head', 'wood_short_midPoint')], Total Error: 1.4114, Shape Error: 0.2460, Size Error: 0.6843, Ratio Error: 0.9622
Matches: [('rake_handle', 'wood_long_endPoint'), ('rake_head', 'pliers')], Total Error: 1.4120, Shape Error: 0.8160, Size Error: 0.2602, Ratio Error: 0.6716
Matches: [('rake_handle', 'screwdriver_small'), ('rake_head', 'steel_bowl_small')], Total Error: 1.4136, Shape Error: 0.5169, Size Error: 0.5506, Ratio Error: 0.6924
Matches: [('rake_handle', 'tongs'), ('rake_head', 'drill_bit')], Total Error: 1.4160, Shape Error: 0.5645, Size Error: 0.5192, Ratio Error: 0.6647
Matches: [('rake_handle', 'wood_long_endPoint'), ('rake_head', 'plastic_clip')], Total Error: 1.4169, Shape Error: 0.7788, Size Error: 0.2794, Ratio Error: 0.7174
Matches: [('rake_handle', 'plastic_clip'), ('rake_head', 'plastic_handle')], Total Error: 1.4178, Shape Error: 0.0939, Size Error: 0.6942, Ratio Error: 1.2595
Matches: [('rake_handle', 'drill_bit'), ('rake_head', 'hotdog')], Total Error: 1.4204, Shape Error: 0.3646, Size Error: 0.5430, Ratio Error: 1.0256
Matches: [('rake_handle', 'plastic_clip'), ('rake_head', 'foam_roll')], Total Error: 1.4221, Shape Error: 0.2730, Size Error: 0.6760, Ratio Error: 0.9462
Matches: [('rake_handle', 'wooden_screw'), ('rake_head', 'foam_triangle')], Total Error: 1.4228, Shape Error: 0.4712, Size Error: 0.5762, Ratio Error: 0.7508
Matches: [('rake_handle', 'tongs'), ('rake_head', 'screwdriver_small')], Total Error: 1.4236, Shape Error: 0.3383, Size Error: 0.5977, Ratio Error: 0.9753
Matches: [('rake_handle', 'plastic_clip'), ('rake_head', 'screwdriver_large')], Total Error: 1.4248, Shape Error: 0.0736, Size Error: 0.6803, Ratio Error: 1.3418
Matches: [('rake_handle', 'wood_L_shape'), ('rake_head', 'purple_foam')], Total Error: 1.4254, Shape Error: 0.2994, Size Error: 0.6422, Ratio Error: 0.9675
Matches: [('rake_handle', 'wood_L_shape'), ('rake_head', 'wood_block_stack')], Total Error: 1.4261, Shape Error: 0.5835, Size Error: 0.4922, Ratio Error: 0.7008
Matches: [('rake_handle', 'plastic_clip'), ('rake_head', 'steel_bowl_small')], Total Error: 1.4322, Shape Error: 0.3279, Size Error: 0.6409, Ratio Error: 0.9268
Matches: [('rake_handle', 'drill_bit'), ('rake_head', 'tongs')], Total Error: 1.4394, Shape Error: 0.2696, Size Error: 0.6249, Ratio Error: 1.0898
Matches: [('rake_handle', 'drill_bit'), ('rake_head', 'red_bowl')], Total Error: 1.4413, Shape Error: 0.5535, Size Error: 0.5081, Ratio Error: 0.7595
Matches: [('rake_handle', 'wood_L_shape'), ('rake_head', 'foam_w_hole')], Total Error: 1.4445, Shape Error: 0.6054, Size Error: 0.5011, Ratio Error: 0.6761
Matches: [('rake_handle', 'tongs'), ('rake_head', 'gelatin_box')], Total Error: 1.4446, Shape Error: 0.5597, Size Error: 0.6379, Ratio Error: 0.4942
Matches: [('rake_handle', 'wooden_screw'), ('rake_head', 'yellow_foam')], Total Error: 1.4465, Shape Error: 0.7403, Size Error: 0.4550, Ratio Error: 0.5024
Matches: [('rake_handle', 'screwdriver_small'), ('rake_head', 'foam_triangle')], Total Error: 1.4529, Shape Error: 0.4241, Size Error: 0.6280, Ratio Error: 0.8016
