Generating the reference point cloud
Model name: shovel_head
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'shovel_head', 'shovel_handle'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('shovel_head', 'pliers'), ('shovel_handle', 'screwdriver_large')], Total Error: 1.3615, Shape Error: 0.3808, Size Error: 0.5393, Ratio Error: 0.8828
Matches: [('shovel_head', 'green_foam'), ('shovel_handle', 'screwdriver_small')], Total Error: 1.3631, Shape Error: 0.4602, Size Error: 0.5401, Ratio Error: 0.7256
Matches: [('shovel_head', 'drill_bit'), ('shovel_handle', 'wood_long_endPoint')], Total Error: 1.3669, Shape Error: 0.3989, Size Error: 0.5011, Ratio Error: 0.9337
Matches: [('shovel_head', 'foam_triangle'), ('shovel_handle', 'screwdriver_large')], Total Error: 1.3703, Shape Error: 0.6903, Size Error: 0.4110, Ratio Error: 0.5380
Matches: [('shovel_head', 'fries'), ('shovel_handle', 'screwdriver_small')], Total Error: 1.3718, Shape Error: 0.3525, Size Error: 0.6388, Ratio Error: 0.7609
Matches: [('shovel_head', 'plastic_clip'), ('shovel_handle', 'red_cylinder_magnetic')], Total Error: 1.3719, Shape Error: 0.5079, Size Error: 0.5140, Ratio Error: 0.7001
Matches: [('shovel_head', 'plastic_clip'), ('shovel_handle', 'plastic_claw')], Total Error: 1.3741, Shape Error: 0.0537, Size Error: 0.7602, Ratio Error: 1.1202
Matches: [('shovel_head', 'red_cylinder_magnetic'), ('shovel_handle', 'drill_bit')], Total Error: 1.3772, Shape Error: 0.4707, Size Error: 0.5155, Ratio Error: 0.7821
Matches: [('shovel_head', 'plastic_claw'), ('shovel_handle', 'purple_foam')], Total Error: 1.3781, Shape Error: 0.2817, Size Error: 0.6574, Ratio Error: 0.8780
Matches: [('shovel_head', 'wooden_screw'), ('shovel_handle', 'drill_bit')], Total Error: 1.3793, Shape Error: 0.2732, Size Error: 0.6293, Ratio Error: 0.9536
Matches: [('shovel_head', 'red_cylinder_magnetic'), ('shovel_handle', 'wood_L_shape')], Total Error: 1.3820, Shape Error: 0.4707, Size Error: 0.5669, Ratio Error: 0.6887
Matches: [('shovel_head', 'wood_L_shape'), ('shovel_handle', 'wooden_screw')], Total Error: 1.3833, Shape Error: 0.2732, Size Error: 0.7210, Ratio Error: 0.7782
Matches: [('shovel_head', 'wooden_screw'), ('shovel_handle', 'wood_L_shape')], Total Error: 1.3840, Shape Error: 0.2732, Size Error: 0.6807, Ratio Error: 0.8602
Matches: [('shovel_head', 'screwdriver_small'), ('shovel_handle', 'tongs')], Total Error: 1.3851, Shape Error: 0.3736, Size Error: 0.6563, Ratio Error: 0.7103
Matches: [('shovel_head', 'screwdriver_large'), ('shovel_handle', 'drill_bit')], Total Error: 1.3870, Shape Error: 0.3808, Size Error: 0.5502, Ratio Error: 0.9120
Matches: [('shovel_head', 'plastic_clip'), ('shovel_handle', 'foam_roll')], Total Error: 1.3891, Shape Error: 0.4735, Size Error: 0.4447, Ratio Error: 0.9417
Matches: [('shovel_head', 'plastic_claw'), ('shovel_handle', 'tuna_can')], Total Error: 1.3893, Shape Error: 0.0166, Size Error: 0.7876, Ratio Error: 1.1704
Matches: [('shovel_head', 'tuna_can'), ('shovel_handle', 'fries')], Total Error: 1.3905, Shape Error: 0.1264, Size Error: 0.7199, Ratio Error: 1.0885
Matches: [('shovel_head', 'screwdriver_large'), ('shovel_handle', 'wood_L_shape')], Total Error: 1.3917, Shape Error: 0.3808, Size Error: 0.6016, Ratio Error: 0.8186
Matches: [('shovel_head', 'gripper_sleeve'), ('shovel_handle', 'wooden_screw')], Total Error: 1.3944, Shape Error: 0.9256, Size Error: 0.2934, Ratio Error: 0.3509
Matches: [('shovel_head', 'purple_foam'), ('shovel_handle', 'pliers')], Total Error: 1.3957, Shape Error: 0.2652, Size Error: 0.5902, Ratio Error: 1.0808
Matches: [('shovel_head', 'tuna_can'), ('shovel_handle', 'wood_long_endPoint')], Total Error: 1.4022, Shape Error: 0.3989, Size Error: 0.4950, Ratio Error: 1.0164
Matches: [('shovel_head', 'purple_foam'), ('shovel_handle', 'wood_short_midPoint')], Total Error: 1.4064, Shape Error: 0.6993, Size Error: 0.3416, Ratio Error: 0.7310
Matches: [('shovel_head', 'plastic_claw'), ('shovel_handle', 'plastic_handle')], Total Error: 1.4146, Shape Error: 0.3769, Size Error: 0.5853, Ratio Error: 0.9048
Matches: [('shovel_head', 'foam_w_hole'), ('shovel_handle', 'drill_bit')], Total Error: 1.4161, Shape Error: 0.4389, Size Error: 0.5031, Ratio Error: 0.9481
Matches: [('shovel_head', 'drill_bit'), ('shovel_handle', 'screwdriver_large')], Total Error: 1.4206, Shape Error: 0.3808, Size Error: 0.6389, Ratio Error: 0.8016
Matches: [('shovel_head', 'foam_w_hole'), ('shovel_handle', 'wood_L_shape')], Total Error: 1.4208, Shape Error: 0.4389, Size Error: 0.5546, Ratio Error: 0.8547
Matches: [('shovel_head', 'wood_foam'), ('shovel_handle', 'wooden_screw')], Total Error: 1.4212, Shape Error: 0.8131, Size Error: 0.3763, Ratio Error: 0.4636
Matches: [('shovel_head', 'wood_foam'), ('shovel_handle', 'wooden_screw')], Total Error: 1.4212, Shape Error: 0.8131, Size Error: 0.3763, Ratio Error: 0.4636
Matches: [('shovel_head', 'wood_L_shape'), ('shovel_handle', 'plastic_clip')], Total Error: 1.4214, Shape Error: 0.0372, Size Error: 0.8360, Ratio Error: 1.0965
Matches: [('shovel_head', 'plastic_claw'), ('shovel_handle', 'fork')], Total Error: 1.4237, Shape Error: 0.9166, Size Error: 0.1765, Ratio Error: 0.6611
Matches: [('shovel_head', 'foam_triangle'), ('shovel_handle', 'pliers')], Total Error: 1.4256, Shape Error: 0.3095, Size Error: 0.5860, Ratio Error: 1.0600
Matches: [('shovel_head', 'plastic_claw'), ('shovel_handle', 'wood_spread_tooth')], Total Error: 1.4269, Shape Error: 0.9073, Size Error: 0.1584, Ratio Error: 0.7225
Matches: [('shovel_head', 'pliers'), ('shovel_handle', 'wood_short_midPoint')], Total Error: 1.4275, Shape Error: 0.4342, Size Error: 0.4658, Ratio Error: 1.0551
Matches: [('shovel_head', 'beans_tin'), ('shovel_handle', 'drill_bit')], Total Error: 1.4285, Shape Error: 0.5527, Size Error: 0.4966, Ratio Error: 0.7585
Matches: [('shovel_head', 'gelatin_box'), ('shovel_handle', 'fries')], Total Error: 1.4312, Shape Error: 0.2066, Size Error: 0.7000, Ratio Error: 1.0491
Matches: [('shovel_head', 'gripper_sleeve'), ('shovel_handle', 'plastic_clip')], Total Error: 1.4325, Shape Error: 0.6895, Size Error: 0.4084, Ratio Error: 0.6692
Matches: [('shovel_head', 'beans_tin'), ('shovel_handle', 'wood_L_shape')], Total Error: 1.4332, Shape Error: 0.5527, Size Error: 0.5480, Ratio Error: 0.6651
Matches: [('shovel_head', 'wood_L_shape'), ('shovel_handle', 'screwdriver_small')], Total Error: 1.4336, Shape Error: 0.2262, Size Error: 0.7931, Ratio Error: 0.8286
Matches: [('shovel_head', 'red_cylinder_magnetic'), ('shovel_handle', 'tongs')], Total Error: 1.4353, Shape Error: 0.6181, Size Error: 0.5248, Ratio Error: 0.5848
Matches: [('shovel_head', 'foam_triangle'), ('shovel_handle', 'wood_short_midPoint')], Total Error: 1.4363, Shape Error: 0.7437, Size Error: 0.3375, Ratio Error: 0.7103
Matches: [('shovel_head', 'wooden_screw'), ('shovel_handle', 'tongs')], Total Error: 1.4374, Shape Error: 0.4206, Size Error: 0.6386, Ratio Error: 0.7563
Matches: [('shovel_head', 'hotdog'), ('shovel_handle', 'wooden_screw')], Total Error: 1.4410, Shape Error: 0.7972, Size Error: 0.4379, Ratio Error: 0.4119
Matches: [('shovel_head', 'red_foam'), ('shovel_handle', 'drill_bit')], Total Error: 1.4417, Shape Error: 0.1626, Size Error: 0.7153, Ratio Error: 1.1276
Matches: [('shovel_head', 'plastic_handle'), ('shovel_handle', 'fries')], Total Error: 1.4427, Shape Error: 0.4868, Size Error: 0.5585, Ratio Error: 0.7949
Matches: [('shovel_head', 'gelatin_box'), ('shovel_handle', 'wood_long_endPoint')], Total Error: 1.4429, Shape Error: 0.4792, Size Error: 0.4751, Ratio Error: 0.9771
Matches: [('shovel_head', 'gripper_sleeve'), ('shovel_handle', 'screwdriver_small')], Total Error: 1.4447, Shape Error: 0.8785, Size Error: 0.3655, Ratio Error: 0.4013
Matches: [('shovel_head', 'screwdriver_large'), ('shovel_handle', 'tongs')], Total Error: 1.4451, Shape Error: 0.5282, Size Error: 0.5595, Ratio Error: 0.7146
Matches: [('shovel_head', 'red_foam'), ('shovel_handle', 'wood_L_shape')], Total Error: 1.4464, Shape Error: 0.1626, Size Error: 0.7668, Ratio Error: 1.0342
Matches: [('shovel_head', 'tongs'), ('shovel_handle', 'wooden_screw')], Total Error: 1.4506, Shape Error: 0.4206, Size Error: 0.6504, Ratio Error: 0.7592
Matches: [('shovel_head', 'plastic_claw'), ('shovel_handle', 'wood_long_midPoint')], Total Error: 1.4542, Shape Error: 1.0280, Size Error: 0.2366, Ratio Error: 0.3792
Matches: [('shovel_head', 'plastic_handle'), ('shovel_handle', 'wood_long_endPoint')], Total Error: 1.4544, Shape Error: 0.7593, Size Error: 0.3336, Ratio Error: 0.7228
